"muLatitude","muSpecies","sigmaAlphaSites","sigmaAlphaSpecies","sigmaLambda","sigmaSites","sigmaSpecies","model","truth"
-0.867696251267114,-9.93592592741177,2.57438380055721,2.55751560568377,2.57154202379801,1.10245112568751,2.59865841383057,"GCMSH","covariate"
-0.782491864707094,-9.89905565790337,2.5806819490553,2.56444898069411,2.5537448208191,1.52867495720715,2.48676588522764,"GCMSH","covariate"
-1.17920923813194,-9.04059675417405,2.58387540190514,2.57372813234428,2.58371631856751,0.919602614009,2.26834628074678,"GCMSH","covariate"
-0.919049496592447,-9.83698111104117,2.58066568167568,2.57082947629853,2.57616425613932,1.01088480571981,2.93285681202022,"GCMSH","covariate"
-0.837535441437189,-9.31103870949222,2.57856819444503,2.56252033252359,2.56959812300676,1.26219908430987,2.4398699669307,"GCMSH","covariate"
-0.651475830248835,0.0322445630625919,2.58001333092922,2.58559935285433,2.52849004093697,1.02551711844269,2.56920905205127,"GCMCO","covariate"
-0.649387547921329,-0.0298356405632898,2.57191117018506,2.58234119682517,2.51509687988417,1.54180615012412,2.56401295900561,"GCMCO","covariate"
-1.16902250318509,-0.0270960017106048,2.57346141385327,2.56435650092882,2.52508328120039,0.910805270162512,2.58946297602281,"GCMCO","covariate"
-0.855338879365585,-0.108346188722493,2.53899598911529,2.57807909794842,2.50070984012472,1.13475232010228,2.57206818540279,"GCMCO","covariate"
-0.81555089438894,0.0559161036182587,2.57264391349953,2.57791631224364,2.5028927871936,1.2354917858672,2.55090834942033,"GCMCO","covariate"
-0.593899308379879,-2.04297297115345,1.007441773831,0.988337067914814,2.57903412120468,0.893704631574798,0.871753613169344,"SOM","covariate"
-0.700227039210041,-2.25087623896919,1.04324525198404,0.980726670284593,2.56786587785264,1.02715209462505,1.15969909121814,"SOM","covariate"
-0.640934562722952,-2.41868019071742,1.03856358190393,0.993860521562313,2.57128345236721,1.04067362870015,1.23610431585213,"SOM","covariate"
-0.635587359991643,-2.49678055487714,1.03768219972756,0.921874422258677,2.57481811894874,1.13578217098497,1.35114719447218,"SOM","covariate"
-0.690390419362351,-2.20220366941675,0.967768624596491,1.06211156421641,2.57013324113945,1.08468455146554,0.992430228962389,"SOM","covariate"
-0.581533850878289,-2.06419519587066,1.00600562011908,0.989990254342601,2.55679722029232,0.899470634316204,0.857865056046579,"IDMSH","covariate"
-0.696225399711671,-2.26073873624888,1.04179679363567,0.977325025962292,2.58179910848842,1.02865086994746,1.14454247764933,"IDMSH","covariate"
-0.666400954707817,-2.45757947177186,1.04018563061263,0.986021148692172,2.57528539764595,1.06422455506357,1.23056888590939,"IDMSH","covariate"
-0.657144788440944,-2.50451086160914,1.03694289866051,0.915369668797662,2.57742169676095,1.13977580317872,1.34615623839673,"IDMSH","covariate"
-0.702165084509932,-2.23355403619718,0.965913570227129,1.05909072299491,2.58037788960179,1.1034680131957,0.982445119247401,"IDMSH","covariate"
-0.569338484402168,-2.0662983446517,1.00795935474509,0.993382011765307,2.49769498059788,0.935437143208427,0.874487981839054,"IDMCO","covariate"
-0.630129719972942,-2.21842185761527,1.04109049152621,0.974696449090816,2.56216665446971,1.01558342598726,1.1540771142944,"IDMCO","covariate"
-0.706348257843585,-2.43572361737988,1.0380259868777,0.984793919359719,2.48239987656992,1.04711166541688,1.24802814475989,"IDMCO","covariate"
-0.663263973314163,-2.46743188511233,1.0308544573306,0.917136338437975,2.59270393444645,1.1076743223884,1.34122375387282,"IDMCO","covariate"
-0.721592258036011,-2.22889717854628,0.964774888425851,1.06148847046812,2.56989922087997,1.09874386971737,1.01090738001521,"IDMCO","covariate"
-0.763759213444781,-2.86502378198674,2.57432494043721,2.57746417109098,2.58004921007503,1.10486922304594,1.51611055327517,"GCMSH","shared"
-0.635841182837203,-3.54022507195399,2.55539583397086,2.58251334501261,2.57170941097044,0.981897983619282,1.99893558025552,"GCMSH","shared"
-0.704259804939639,-3.68007055897849,2.58593595887781,2.55428944058413,2.57881396369725,0.981217726447511,2.12208480037119,"GCMSH","shared"
-0.8520906329679,-3.42087303423737,2.5656573618192,2.56734602692105,2.57434588816824,1.03160089566863,2.08648391817811,"GCMSH","shared"
-0.69971549306852,-3.77011886205236,2.567546681197,2.5967817022624,2.58716632680273,0.981545428769655,2.24480013324228,"GCMSH","shared"
-0.744893319648838,0.0114596643534926,2.58010233090747,2.57316528838497,2.48373086274128,1.09400444239332,2.57179247285897,"GCMCO","shared"
-0.642781518076415,0.0698761523699878,2.57374238312527,2.58796810051779,2.44375919019397,0.98257355499713,2.56540740401847,"GCMCO","shared"
-0.681356393285369,-0.0547044783293908,2.57094615166134,2.56370338839898,2.49488772745513,0.982128564190519,2.58686250200153,"GCMCO","shared"
-0.76867264010745,0.042202712906062,2.59178128037474,2.58944060443418,2.47515958646201,1.02756723276105,2.55113175205459,"GCMCO","shared"
-0.682888436033824,-0.0611116368716477,2.58807086270332,2.55780563657346,2.49204335299603,0.983977752741974,2.5578763255202,"GCMCO","shared"
-0.761724922747982,-2.26608591106227,1.04025511962409,1.07428815698199,2.59593956989845,1.00288753859499,1.06019117918772,"SOM","shared"
-0.669995603891816,-2.3559361686594,1.03948616190636,0.966949472619934,2.56156373682451,1.06201429644946,1.13651353440492,"SOM","shared"
-0.644372762736283,-2.26726031763023,0.994081170845576,1.05352014874696,2.55551664201341,1.03077945246946,1.12110484364192,"SOM","shared"
-0.733632649130225,-2.24209759702312,0.954808008548192,1.09987082929284,2.55929957230313,1.07818427298312,0.930174563661345,"SOM","shared"
-0.805811064016405,-2.27947059521473,1.02788636843049,0.926435892734554,2.59484399463227,0.995569124005537,0.982282446371926,"SOM","shared"
-0.767325428043986,-2.29784963258548,1.03954988890987,1.07523522094717,2.57388097312158,1.08453226173281,1.08922328039452,"IDMSH","shared"
-0.636499539004269,-2.27652594988034,1.03707660269831,0.964272875453784,2.57687078885441,1.0032582164391,1.09754791104613,"IDMSH","shared"
-0.631773010730037,-2.20557826304261,0.999621637661306,1.05924115970983,2.57677220677154,0.987903090511149,1.11683242588615,"IDMSH","shared"
-0.710292865923012,-2.13484339233136,0.957110194600143,1.09647928099012,2.59701582203538,1.04325309924183,0.950228433070162,"IDMSH","shared"
-0.734961544173626,-2.18698808591719,1.02949558542449,0.933432697642765,2.56964144809354,0.974399268049547,0.969668659228755,"IDMSH","shared"
-0.760473069561181,-2.32186479053253,1.03745235316843,1.06293639176241,2.48694502351213,1.08780816505356,1.0777453043776,"IDMCO","shared"
-0.719298218122554,-2.2685685767861,1.03552212026579,0.95906939511189,2.55493171087147,1.00813555810395,1.06856378743805,"IDMCO","shared"
-0.730726071287165,-2.24401372797427,0.994015493119966,1.0550728264036,2.47906601913244,0.9860423193257,1.11171798514014,"IDMCO","shared"
-0.742122356247023,-2.20740668905771,0.955481972857208,1.09189750450757,2.55358689459053,1.04274172927204,0.919281923812857,"IDMCO","shared"
-0.724377808089581,-2.22087685759229,1.02553358227301,0.917336484188886,2.52345420747162,0.97653642640323,0.93852760545806,"IDMCO","shared"
